threshold,scaling,clustering,num_clusters,silhouette,calinski_harabasz,davies_bouldin,ARI,AMI
3,flatten_gradcam,KMeans,2,0.821554770318021,0.5954182812856166,0.6197583511016348,0.24649859943977595,0.3991416309012875
3,flatten_gradcam,KMeans,3,0.8886925795053002,0.6905402325051289,0.5195451314854301,0.36414565826330536,0.5622317596566523
3,flatten_gradcam,KMeans,4,0.8339222614840989,0.591907909733303,0.6823027718550106,0.44257703081232497,0.592274678111588
3,flatten_gradcam,KMeans,5,0.8445229681978798,0.5217232733074995,0.5422885572139303,0.47899159663865554,0.6180257510729613
3,flatten_gradcam,KMeans,6,0.7950530035335688,0.4782311374515615,0.5764036958066808,0.515406162464986,0.5643776824034334
3,flatten_gradcam,KMeans,7,0.773851590106007,0.44916799635286075,0.6247334754797443,0.5378151260504203,0.6051502145922746
3,flatten_gradcam,KMeans,8,0.8038869257950529,0.420583542284021,0.542999289267946,0.49579831932773116,0.5793991416309012
3,flatten_gradcam,KMeans,9,0.8144876325088338,0.41381354000455894,0.4968017057569297,0.5378151260504203,0.6416309012875535
3,flatten_gradcam,KMeans,10,0.8303886925795052,0.3956234328698427,0.5408670931058991,0.5378151260504203,0.6480686695278969
3,flatten_gradcam,KMeans,11,0.832155477031802,0.3910417141554593,0.4619758351101635,0.4873949579831933,0.594420600858369
3,flatten_gradcam,KMeans,12,0.8197879858657243,0.3725552769546387,0.4968017057569297,0.607843137254902,0.6781115879828326
3,flatten_gradcam,KMeans,13,0.8197879858657243,0.36644631866879424,0.44918265813788205,0.6190476190476192,0.6781115879828326
3,flatten_gradcam,AffinityPropagation,3,0.8533568904593638,0.6353544563483018,0.5501066098081024,0.2689075630252101,0.37339055793991416
3,flatten_gradcam,AffinityPropagation,3,0.8533568904593638,0.6353544563483018,0.5501066098081024,0.2689075630252101,0.37339055793991416
3,flatten_gradcam,AffinityPropagation,3,0.8533568904593638,0.6353544563483018,0.5501066098081024,0.2689075630252101,0.37339055793991416
3,flatten_gradcam,AffinityPropagation,3,0.8533568904593638,0.6353544563483018,0.5501066098081024,0.2689075630252101,0.37339055793991416
3,flatten_gradcam,AffinityPropagation,3,0.8533568904593638,0.6353544563483018,0.5501066098081024,0.2689075630252101,0.37339055793991416
3,flatten_gradcam,AffinityPropagation,3,0.8533568904593638,0.6353544563483018,0.5501066098081024,0.2689075630252101,0.37339055793991416
3,flatten_gradcam,AffinityPropagation,3,0.8533568904593638,0.6353544563483018,0.5501066098081024,0.2689075630252101,0.37339055793991416
3,flatten_gradcam,AffinityPropagation,4,0.7508833922261483,0.5156371096421245,0.7604832977967307,0.38375350140056025,0.46137339055793986
3,flatten_gradcam,AffinityPropagation,4,0.812720848056537,0.558787326191019,0.6865671641791046,0.3473389355742297,0.45493562231759654
3,flatten_gradcam,AffinityPropagation,4,0.812720848056537,0.558787326191019,0.6865671641791046,0.3473389355742297,0.45493562231759654
3,flatten_gradcam,AffinityPropagation,5,0.7438162544169611,0.47513106906770003,0.75408670931059,0.49859943977591037,0.6223175965665235
3,flatten_gradcam,AffinityPropagation,5,0.763250883392226,0.48885343059038067,0.7263681592039802,0.5070028011204483,0.6480686695278969
3,flatten_gradcam,AffinityPropagation,5,0.7720848056537102,0.49746979712787787,0.7270788912579959,0.4929971988795519,0.6630901287553647
3,flatten_gradcam,AffinityPropagation,9,0.7897526501766783,0.38940050148165034,0.5309168443496803,0.6106442577030813,0.7296137339055794
3,flatten_gradcam,AffinityPropagation,12,0.8162544169611307,0.365557328470481,0.4740582800284294,0.6638655462184876,0.763948497854077
3,flatten_gradcam,AffinityPropagation,12,0.8162544169611307,0.365557328470481,0.4740582800284294,0.6638655462184876,0.763948497854077
3,flatten_gradcam,MeanShift,8,0.6943462897526501,0.3077045817187144,0.349680170575693,0.4369747899159664,0.5965665236051502
3,flatten_gradcam,MeanShift,4,0.8074204946996466,0.46774561203555964,0.5927505330490407,0.44537815126050423,0.6094420600858369
3,flatten_gradcam,MeanShift,2,0.7791519434628975,0.4476407567813996,0.8727789623312013,0.10644257703081234,0.17167381974248924
3,flatten_gradcam,MeanShift,2,0.8568904593639575,0.586300433097789,0.6773276474769013,0.0812324929971989,0.21459227467811157
3,flatten_gradcam,SpectralClustering,2,0.9222614840989398,0.532755869614771,0.4164889836531629,0.07282913165266108,0.21030042918454933
3,flatten_gradcam,SpectralClustering,3,0.8833922261484098,0.6642124458627764,0.5053304904051175,0.4089635854341737,0.6459227467811157
3,flatten_gradcam,SpectralClustering,4,0.8109540636042403,0.5177342147253248,0.3980099502487563,0.3921568627450981,0.6437768240343347
3,flatten_gradcam,SpectralClustering,5,0.7296819787985865,0.41901071347162067,0.4840085287846483,0.4033613445378152,0.6201716738197425
3,flatten_gradcam,SpectralClustering,6,0.7031802120141342,0.3382265785274675,0.5010660980810235,0.38655462184873957,0.5901287553648068
3,flatten_gradcam,SpectralClustering,7,0.7173144876325088,0.351219512195122,0.4399431414356788,0.4117647058823529,0.6394849785407724
3,flatten_gradcam,SpectralClustering,8,0.773851590106007,0.3754273991338044,0.44776119402985093,0.3893557422969188,0.5665236051502145
3,flatten_gradcam,SpectralClustering,9,0.7950530035335688,0.3562799179393663,0.4250177683013505,0.4117647058823529,0.6051502145922746
3,flatten_gradcam,SpectralClustering,10,0.7968197879858656,0.33362206519261456,0.3987206823027719,0.38655462184873957,0.5472103004291844
3,flatten_gradcam,SpectralClustering,11,0.821554770318021,0.34752678367905177,0.451314854299929,0.523809523809524,0.723175965665236
